issue title,link,filtering type
[PT2E][Quant][BE] Split short term and long term tests in different files,https://github.com/pytorch/pytorch/pull/99065,Step 1: Feature requests and general help requests
[PT2E][Quant][BE] Move pt2e quantization test to separate folder,https://github.com/pytorch/pytorch/pull/99064,Step 1: Feature requests and general help requests
inductor: add device and dtype check before doing cpu fx packed weight,https://github.com/pytorch/pytorch/pull/99028,Step 1: Feature requests and general help requests
[pt2] NotImplementedError: Could not run 'aten::to_mkldnn' with arguments from the 'CUDA' backend,https://github.com/pytorch/pytorch/issues/96406,Step 3: Issue not related to correctness bugs
DISABLED test_comprehensive_prod_cuda_float16 (__main__.TestInductorOpInfoCUDA),https://github.com/pytorch/pytorch/issues/98047,Step 2: Issue not discussing a bug within torch.compile
[PT2E][Quantization] Refactor Quantizer and QNNPACKQuantizer,https://github.com/pytorch/pytorch/pull/99063,Step 1: Feature requests and general help requests
simplify codegen for integer min/max since they don't need to propaga…,https://github.com/pytorch/pytorch/pull/99249,Step 1: Feature requests and general help requests
Remove obsolete HAS_PRIMS_REFS,https://github.com/pytorch/pytorch/pull/99252,Step 1: Feature requests and general help requests
Further improve symbolic shapes logging,https://github.com/pytorch/pytorch/pull/99159,Step 1: Feature requests and general help requests
Functionalization of torch.rand/rand_like ops,https://github.com/pytorch/pytorch/pull/97377,Step 1: Feature requests and general help requests
[inductor] Refactor pre-grad passes into inductor.fx_passes,https://github.com/pytorch/pytorch/pull/99130,Step 1: Feature requests and general help requests
[inductor][quant]Enable inductor vec codegen for quantization,https://github.com/pytorch/pytorch/pull/98489,Step 1: Feature requests and general help requests
Add invariant that all symbolic shapes must be bound in graph,https://github.com/pytorch/pytorch/pull/99089,Step 1: Feature requests and general help requests
[dynamo] Support DELETE_ATTR,https://github.com/pytorch/pytorch/pull/98698,Step 1: Feature requests and general help requests
[Dynamo] Fix benchmark --verbose error,https://github.com/pytorch/pytorch/pull/99224,Step 3: Issue not related to correctness bugs
SymInt'ify fft functions,https://github.com/pytorch/pytorch/issues/96308,Step 3: Issue not related to correctness bugs
[pt2] add `SymInt` support for fft ops,https://github.com/pytorch/pytorch/pull/99115,Step 1: Feature requests and general help requests
[pt2] add `SymInt` support for `roll`,https://github.com/pytorch/pytorch/pull/99114,Step 1: Feature requests and general help requests
[CI] Remove inductor skip list for timm_models,https://github.com/pytorch/pytorch/pull/98840,Step 1: Feature requests and general help requests
[CI] Use expected accuracy csv files to check benchmark test status,https://github.com/pytorch/pytorch/pull/98839,Step 2: Issue not discussing a bug within torch.compile
Support neg calls to dyn shapes,https://github.com/pytorch/pytorch/pull/95564,Step 1: Feature requests and general help requests
[Dynamo] No graph break for explicit calling Conv{1/2/3}d.forward & ConvTranspose{1/2/3}d.forward,https://github.com/pytorch/pytorch/pull/99015,Step 1: Feature requests and general help requests
[Dynamo] Code refactor: moving variables related unit tests to a separate folder,https://github.com/pytorch/pytorch/pull/99213,Step 1: Feature requests and general help requests
[dynamo] Support functools.wraps,https://github.com/pytorch/pytorch/pull/98699,Step 1: Feature requests and general help requests
Patch failing slow-test logic for inductor-dynamic,https://github.com/pytorch/pytorch/pull/99182,Step 3: Issue not related to correctness bugs
inductor tests metaprogramming breaks for SLOW_TESTS logic,https://github.com/pytorch/pytorch/issues/98954,Step 3: Issue not related to correctness bugs
Graph-break on allowed modules if they have hooks,https://github.com/pytorch/pytorch/pull/97184,Step 1: Feature requests and general help requests
[ONNX] Support aten.stack for dynamo_export,https://github.com/pytorch/pytorch/pull/99191,Step 1: Feature requests and general help requests
[ONNX] Introduce Input/Ouptut adapter; Switch to 'DynamoExporter',https://github.com/pytorch/pytorch/pull/98421,Step 1: Feature requests and general help requests
aot_autograd: more logging on metadata asserts,https://github.com/pytorch/pytorch/pull/99177,Step 1: Feature requests and general help requests
Inductor CPU and CUDA test template need to inherit from TorchTestCase,https://github.com/pytorch/pytorch/pull/98803,Step 1: Feature requests and general help requests
"[PATCH] Back out ""Move functional collectives implementation to python. (#98595)",https://github.com/pytorch/pytorch/pull/99168,Step 3: Issue not related to correctness bugs
[inductor] Use FakeTensorMode() when creating patterns,https://github.com/pytorch/pytorch/pull/99128,Step 1: Feature requests and general help requests
[inductor] Enable an AOTInductor smoketest,https://github.com/pytorch/pytorch/pull/99078,Step 1: Feature requests and general help requests
JIT torchdynamo dynamic shapes guards,https://github.com/pytorch/pytorch/pull/89707,Step 1: Feature requests and general help requests
Sdym/test fixes,https://github.com/pytorch/pytorch/pull/99192,Step 3: Issue not related to correctness bugs
"[dynamo] FakeTensor comparison with ""is"" instead of ""==""",https://github.com/pytorch/pytorch/pull/99134,Step 1: Feature requests and general help requests
Recompute flat_arg_fake_tensors after fakification,https://github.com/pytorch/pytorch/pull/98769,Step 1: Feature requests and general help requests
[torch.compile] [Dynamic] SymInt doesn't work with FakeTensor.__contains__ ,https://github.com/pytorch/pytorch/issues/98870,Step 3: Issue not related to correctness bugs
[inductor] Refactor post_grad.py,https://github.com/pytorch/pytorch/pull/99127,Step 1: Feature requests and general help requests
Inductor - ValueError: Cannot bitcast data-type of size 64to data-type of size 32,https://github.com/pytorch/pytorch/issues/93606,Step 3: Issue not related to correctness bugs
torch.cuda.DeferredCudaCallError,https://github.com/pytorch/pytorch/issues/98172,Step 2: Issue not discussing a bug within torch.compile
Unbreak torch.compile on macos,https://github.com/pytorch/pytorch/pull/99119,Step 3: Issue not related to correctness bugs
Make summarize_perf.py work with perf-compare,https://github.com/pytorch/pytorch/pull/99095,Step 1: Feature requests and general help requests
Don't specialize when indexing by SymInt,https://github.com/pytorch/pytorch/pull/99123,Step 3: Issue not related to correctness bugs
Recompilation then hang when dynamic=True,https://github.com/pytorch/pytorch/issues/99091,Step 3: Issue not related to correctness bugs
Put GraphArg on the node meta.,https://github.com/pytorch/pytorch/pull/99068,Step 1: Feature requests and general help requests
Expandable blocks in allocator,https://github.com/pytorch/pytorch/pull/96995,Step 1: Feature requests and general help requests
[SPMD] Upstream partial_lower,https://github.com/pytorch/pytorch/pull/99069,Step 1: Feature requests and general help requests
Re-PR of 90269 - Force all nn_module associated tensors to be static,https://github.com/pytorch/pytorch/pull/99108,Step 1: Feature requests and general help requests
inductor: fix timeout in ModularIndexing,https://github.com/pytorch/pytorch/pull/98841,Step 3: Issue not related to correctness bugs
[torch.compile] Add sympy.core.relational.Relational to inductor.ir,https://github.com/pytorch/pytorch/pull/98971,Step 1: Feature requests and general help requests
"GraphArg is always length one, adjust APIs accordingly",https://github.com/pytorch/pytorch/pull/99059,Step 1: Feature requests and general help requests
Remove dead wrap_sym,https://github.com/pytorch/pytorch/pull/99049,Step 1: Feature requests and general help requests
Delete dead orig_graphargs,https://github.com/pytorch/pytorch/pull/99047,Step 1: Feature requests and general help requests
Change unspec ints to not be duck-sized,https://github.com/pytorch/pytorch/pull/99010,Step 3: Issue not related to correctness bugs
OOM in fuse_attention inductor pass,https://github.com/pytorch/pytorch/issues/99084,Step 3: Issue not related to correctness bugs
Move torchdynamo start tracing message earlier,https://github.com/pytorch/pytorch/pull/98990,Step 1: Feature requests and general help requests
[dynamo] Remove pointless graphs from with no_grad(),https://github.com/pytorch/pytorch/pull/98956,Step 1: Feature requests and general help requests
Force all nn_module associated tensors to be static,https://github.com/pytorch/pytorch/pull/90269,Step 1: Feature requests and general help requests
Delay torch.onnx import to after all dynamo [sub]components,https://github.com/pytorch/pytorch/pull/99070,Step 1: Feature requests and general help requests
[primTorch] Add count_nonzero,https://github.com/pytorch/pytorch/pull/98995,Step 1: Feature requests and general help requests
[primTorch] Add rad2deg and deg2rad,https://github.com/pytorch/pytorch/pull/98994,Step 1: Feature requests and general help requests
[quant][pt2e] Fix a bug in reference quantized module (decomposed mode),https://github.com/pytorch/pytorch/pull/98903,Step 3: Issue not related to correctness bugs
[WIP] Add invariant that all symbolic shapes must be bound in graph,https://github.com/pytorch/pytorch/pull/99046,Step 1: Feature requests and general help requests
Fix lazy_modules while enabling Unspecialized '__call__' tracing,https://github.com/pytorch/pytorch/pull/98516,Step 3: Issue not related to correctness bugs
[export] Constraints API,https://github.com/pytorch/pytorch/pull/98433,Step 1: Feature requests and general help requests
Move/Fix FakeTensor logic for detecting multiple fake modes,https://github.com/pytorch/pytorch/pull/97186,Step 3: Issue not related to correctness bugs
Torch.compile don't seem to work properly with einops,https://github.com/pytorch/pytorch/issues/99031,Step 3: Issue not related to correctness bugs
[Dynamo] Fix Lazy Module initialization with constant arg,https://github.com/pytorch/pytorch/pull/98996,Step 3: Issue not related to correctness bugs
[inductor] Support IndexPutFallback in cpp_wrapper,https://github.com/pytorch/pytorch/pull/98972,Step 1: Feature requests and general help requests
AOTAutograd: fix 'Trying to backward through the graph a second time' error,https://github.com/pytorch/pytorch/pull/98960,Step 3: Issue not related to correctness bugs
Using 'aot_eager' to compile model makes an error about `backward()` and `detach()`,https://github.com/pytorch/pytorch/issues/97745,Step 3: Issue not related to correctness bugs
Enable passing a dict of module names: log level to set_logs python api,https://github.com/pytorch/pytorch/pull/98989,Step 1: Feature requests and general help requests
[quant][pt2e][improvement] Remove the need to annotate all nodes with default annotation,https://github.com/pytorch/pytorch/pull/99001,Step 1: Feature requests and general help requests
[pt2] recursive IR check,https://github.com/pytorch/pytorch/pull/98887,Step 1: Feature requests and general help requests
Disable logging in pattern matcher calls to AotAutograd,https://github.com/pytorch/pytorch/pull/98936,Step 3: Issue not related to correctness bugs
"`TORCH_LOGS=dynamo,aot` shows pattern_matcher.py usage of AotAutograd",https://github.com/pytorch/pytorch/issues/98778,Step 3: Issue not related to correctness bugs
inductor: relax the dynamic variable check for cpu dynamic test case,https://github.com/pytorch/pytorch/pull/98815,Step 1: Feature requests and general help requests
Support module hooks in UnspecializedNNModuleVar,https://github.com/pytorch/pytorch/pull/98540,Step 1: Feature requests and general help requests
Make update_expected not fail on one missing file,https://github.com/pytorch/pytorch/pull/98982,Step 1: Feature requests and general help requests
Automatic Dynamic Shapes,https://github.com/pytorch/pytorch/pull/98923,Step 1: Feature requests and general help requests
[inductor] Support integer pow,https://github.com/pytorch/pytorch/pull/88938,Step 1: Feature requests and general help requests
[Dynamo] Fix Sequential nn module with duplicated submodule,https://github.com/pytorch/pytorch/pull/98880,Step 3: Issue not related to correctness bugs
[torch.compile] `Linear+Relu` * 3 will return different value than without compilation,https://github.com/pytorch/pytorch/issues/98852,Studied Dataset (Confirmed Correctness Bug)
[pt2] add `SymInt` support for `cdist`,https://github.com/pytorch/pytorch/pull/98881,Step 3: Issue not related to correctness bugs
torch compile fails on torch.cdist when dynamic=True,https://github.com/pytorch/pytorch/issues/98853,Step 3: Issue not related to correctness bugs
[AOTAutograd] Fix is-duplicate check in de-dup guard logic,https://github.com/pytorch/pytorch/pull/98932,Step 5: Duplicated Issue
[PT2] AOTAutograd constructs wrong de-dup guards for FSDP,https://github.com/pytorch/pytorch/issues/98883,Step 5: Duplicated Issue
Improve symbolic shapes guard logging,https://github.com/pytorch/pytorch/pull/98941,Step 1: Feature requests and general help requests
Automatic Dynamic Shapes,https://github.com/pytorch/pytorch/pull/98374,Step 1: Feature requests and general help requests
[inductor] add `cumprod` to `make_fallback`,https://github.com/pytorch/pytorch/pull/98898,Step 1: Feature requests and general help requests
Allow set pred with ConstantVariable,https://github.com/pytorch/pytorch/pull/98900,Step 1: Feature requests and general help requests
"AOT Autograd refactor + cleanup, handle intermediate views of bases, use view replay, fix non-tensor input handling",https://github.com/pytorch/pytorch/pull/89532,Step 3: Issue not related to correctness bugs
[dynamo] Remove _dynamo.skip and fold it in _dynamo.disable,https://github.com/pytorch/pytorch/pull/98899,Step 1: Feature requests and general help requests
[inductor] Consolidate constant_args and cpp_constant_args,https://github.com/pytorch/pytorch/pull/98742,Step 1: Feature requests and general help requests
[inductor] Consolidata kernel and cpp_kernel for wrapper codegen,https://github.com/pytorch/pytorch/pull/98741,Step 1: Feature requests and general help requests
[dynamo] Raise exception on incorrect usage of disallow_in_graph,https://github.com/pytorch/pytorch/pull/98892,Step 1: Feature requests and general help requests
[torch.compile] `fuse_binary` makes the `conv2d` node was used before it has been defined,https://github.com/pytorch/pytorch/issues/98455,Step 3: Issue not related to correctness bugs
inductor: rewrite mkldnn fx fusion using pattern_matcher(binary),https://github.com/pytorch/pytorch/pull/97141,Step 1: Feature requests and general help requests
[Cleanup] Remove C++ call now that it wont be on hot path,https://github.com/pytorch/pytorch/pull/98913,Step 1: Feature requests and general help requests
[WIP] cache output non recording tensors,https://github.com/pytorch/pytorch/pull/98914,Step 1: Feature requests and general help requests
[WIP] Runtime assert,https://github.com/pytorch/pytorch/pull/98454,Step 1: Feature requests and general help requests
inductor: rewrite mkldnn fx fusion using pattern_matcher(conv_transpose_unary),https://github.com/pytorch/pytorch/pull/97140,Step 1: Feature requests and general help requests
inductor: fix the issue of cat missing dim argument for sink_cat_after_pointwise,https://github.com/pytorch/pytorch/pull/98901,Step 3: Issue not related to correctness bugs
[torch.compile] Exception in `sink_cat_after_pointwise`: `cat_args() missing 1 required positional argument: 'dim'`,https://github.com/pytorch/pytorch/issues/98850,Step 3: Issue not related to correctness bugs
inductor: rewrite mkldnn fx fusion using pattern_matcher(linear_unary),https://github.com/pytorch/pytorch/pull/97139,Step 1: Feature requests and general help requests
inductor: rewrite mkldnn fx fusion using pattern_matcher(conv_unary),https://github.com/pytorch/pytorch/pull/97007,Step 1: Feature requests and general help requests
Add Symbool support in python to C++ translation,https://github.com/pytorch/pytorch/pull/98453,Step 1: Feature requests and general help requests
torch.compile benchmark utility,https://github.com/pytorch/pytorch/pull/97699,Step 1: Feature requests and general help requests
[quant][pt2e][refactor] Rename spec classes,https://github.com/pytorch/pytorch/pull/98801,Step 1: Feature requests and general help requests
[quant][pt2e] Add support for view_copy.default in linear pattern,https://github.com/pytorch/pytorch/pull/98802,Step 1: Feature requests and general help requests
upsample_bilinear2d: support scales in decomp,https://github.com/pytorch/pytorch/pull/91812,Step 1: Feature requests and general help requests
Dynamo dynamic graph capture error: `Tensor.__contains__` does not support SymInt,https://github.com/pytorch/pytorch/issues/98535,Step 3: Issue not related to correctness bugs
[dynamo] Fix bug with torch._dynamo.skip,https://github.com/pytorch/pytorch/pull/98862,Step 3: Issue not related to correctness bugs
[Easy] Reuse `source` variable in `wrap_tensor`,https://github.com/pytorch/pytorch/pull/98845,Step 1: Feature requests and general help requests
[PT2] FSDP raises `DuplicateInputs` assertion,https://github.com/pytorch/pytorch/issues/98625,Step 3: Issue not related to correctness bugs
Fix Lint,https://github.com/pytorch/pytorch/pull/98873,Step 3: Issue not related to correctness bugs
[SPMD] Add the default graph module transformation that is applied after tracing and expansion,https://github.com/pytorch/pytorch/pull/98182,Step 1: Feature requests and general help requests
dynamic range constraint API,https://github.com/pytorch/pytorch/pull/98779,Step 1: Feature requests and general help requests
[Dynamo] Lazy Module support list/tuple input,https://github.com/pytorch/pytorch/pull/98809,Step 1: Feature requests and general help requests
Turn on complex in meta converter,https://github.com/pytorch/pytorch/pull/98867,Step 1: Feature requests and general help requests
Log PT2 compile to Scuba,https://github.com/pytorch/pytorch/pull/98790,Step 1: Feature requests and general help requests
simplify indexing expression before trying to determine strides,https://github.com/pytorch/pytorch/pull/98783,Step 1: Feature requests and general help requests
debug_wrapper raised RuntimeError: Cannot call sizes() on tensor with symbolic sizes/strides,https://github.com/pytorch/pytorch/issues/98849,Step 3: Issue not related to correctness bugs
Generalize summary script to work with more CSV names,https://github.com/pytorch/pytorch/pull/98500,Step 3: Issue not related to correctness bugs
max-autotune mode fails because of dependency on jinja2,https://github.com/pytorch/pytorch/issues/96445,Step 3: Issue not related to correctness bugs
[Dynamo] De-dup graph inputs,https://github.com/pytorch/pytorch/pull/98775,Step 1: Feature requests and general help requests
Dynamo does not deduplicate repeated accesses to the same global,https://github.com/pytorch/pytorch/issues/98743,Step 3: Issue not related to correctness bugs
[Dynamo] Make python random calls real random,https://github.com/pytorch/pytorch/pull/98812,Step 3: Issue not related to correctness bugs
torch.compile does not work for layer drop,https://github.com/pytorch/pytorch/issues/95425,Step 3: Issue not related to correctness bugs
[WIP] Fix for not properly capturing closure variables in cond / export,https://github.com/pytorch/pytorch/pull/91981,Step 3: Issue not related to correctness bugs
[functorch] Make torch.cond accept tuple of operands,https://github.com/pytorch/pytorch/pull/91386,Step 1: Feature requests and general help requests
"Convert logging f-strings to use % format, part five",https://github.com/pytorch/pytorch/pull/98765,Step 1: Feature requests and general help requests
"Convert logging f-strings to use % format, part four",https://github.com/pytorch/pytorch/pull/98705,Step 1: Feature requests and general help requests
Remove unused log config settings,https://github.com/pytorch/pytorch/pull/98795,Step 1: Feature requests and general help requests
[dynamo] Support callable() on user defined functions,https://github.com/pytorch/pytorch/pull/98662,Step 1: Feature requests and general help requests
Add `nonzero_static()` op to pytorch to unblock export,https://github.com/pytorch/pytorch/pull/97417,Step 1: Feature requests and general help requests
[dynamo] Add einops to skipfiles,https://github.com/pytorch/pytorch/pull/98661,Step 1: Feature requests and general help requests
[spmd compile api] use fake tensor for DTensor propagation,https://github.com/pytorch/pytorch/pull/98789,Step 1: Feature requests and general help requests
[spmd compile api] run gm_transforms before running the first iteration,https://github.com/pytorch/pytorch/pull/98788,Step 1: Feature requests and general help requests
[Inductor] [CPU] AssertionError failure in timm model cait_m36_384 & convit_base,https://github.com/pytorch/pytorch/issues/98573,Step 3: Issue not related to correctness bugs
Addressing Alban's comments,https://github.com/pytorch/pytorch/pull/98800,Step 1: Feature requests and general help requests
Functionalization of RNG ops,https://github.com/pytorch/pytorch/pull/98799,Step 1: Feature requests and general help requests
[TESTING] Patch 98737,https://github.com/pytorch/pytorch/pull/98773,Step 3: Issue not related to correctness bugs
Enable unit testing test_matmul_cuda for ROCm,https://github.com/pytorch/pytorch/pull/88888,Step 1: Feature requests and general help requests
Index expanded dims before checking memory overlap,https://github.com/pytorch/pytorch/pull/98656,Step 1: Feature requests and general help requests
Fix typos under torch/_inductor directory,https://github.com/pytorch/pytorch/pull/97592,Step 3: Issue not related to correctness bugs
Lazily format graphs for debug printing,https://github.com/pytorch/pytorch/pull/98776,Step 1: Feature requests and general help requests
Skip test test_triton_bsr_dense_bmm if not TEST_WITH_TORCHINDUCTOR,https://github.com/pytorch/pytorch/pull/98462,Step 1: Feature requests and general help requests
[dynamo 3.11] enable dynamo unittests in 3.11,https://github.com/pytorch/pytorch/pull/98104,Step 1: Feature requests and general help requests
[skip ci] Yukio CSE guards patch,https://github.com/pytorch/pytorch/pull/98592,Step 3: Issue not related to correctness bugs
DISABLED test_conv_transpose2d_unary_dynamic_shapes (__main__.DynamicShapesCodegenCpuTests),https://github.com/pytorch/pytorch/issues/98682,Step 2: Issue not discussing a bug within torch.compile
Skip failing test_torchinductor_codegen_dynamic_shapes tests on CPU,https://github.com/pytorch/pytorch/pull/98621,Step 1: Feature requests and general help requests
DISABLED test_conv2d_unary_dynamic_shapes_cpu (__main__.DynamicShapesCodegenCpuTests),https://github.com/pytorch/pytorch/issues/98680,Step 2: Issue not discussing a bug within torch.compile
DISABLED test_conv2d_binary_dynamic_shapes_cpu (__main__.DynamicShapesCodegenCpuTests),https://github.com/pytorch/pytorch/issues/98679,Step 2: Issue not discussing a bug within torch.compile
Make all Source subclasses frozen.,https://github.com/pytorch/pytorch/pull/98737,Step 1: Feature requests and general help requests
[WIP][Hacks] CSE for guards [DO NOT REVIEW] [LOTS OF ITERATION NEEDED],https://github.com/pytorch/pytorch/pull/97080,Step 1: Feature requests and general help requests
[dynamo] Add kwarg constructor for `call_dict`,https://github.com/pytorch/pytorch/pull/98128,Step 3: Issue not related to correctness bugs
"Convert logging f-strings to use % format, part two",https://github.com/pytorch/pytorch/pull/98700,Step 1: Feature requests and general help requests
Convert logging f-strings to use % format,https://github.com/pytorch/pytorch/pull/98697,Step 1: Feature requests and general help requests
[aot] fix disable amp for runtime wrapper,https://github.com/pytorch/pytorch/pull/97864,Step 3: Issue not related to correctness bugs
Compile error in nanoGPT,https://github.com/pytorch/pytorch/issues/95445,Step 3: Issue not related to correctness bugs
Turn off cudagraph trees ,https://github.com/pytorch/pytorch/pull/98709,Step 1: Feature requests and general help requests
Fused attention patterns,https://github.com/pytorch/pytorch/pull/97741,Step 1: Feature requests and general help requests
Improve dynamo support for autograd.Function,https://github.com/pytorch/pytorch/pull/98158,Step 1: Feature requests and general help requests
[test] inductor should take storage_offset() into account when cloning inputs,https://github.com/pytorch/pytorch/pull/90870,Step 1: Feature requests and general help requests
Make dynamo return unimplemented for ops whose out shape depends on the data,https://github.com/pytorch/pytorch/pull/90461,Step 1: Feature requests and general help requests
torch.compile() ignores LD_LIBRARY_PATH variable,https://github.com/pytorch/pytorch/issues/94582,Step 3: Issue not related to correctness bugs
[pt2] remove skip for `masked.logsumexp` in `test_proxy_tensor.py`,https://github.com/pytorch/pytorch/pull/98676,Step 1: Feature requests and general help requests
[pt2] add meta function for `logcumsumexp`,https://github.com/pytorch/pytorch/pull/98683,Step 1: Feature requests and general help requests
[WIP][Do not review] Automatic dynamic shapes,https://github.com/pytorch/pytorch/pull/98584,Step 1: Feature requests and general help requests
[inductor] remove RBLOCK from persistent reduction kernel's parameter list,https://github.com/pytorch/pytorch/pull/98653,Step 1: Feature requests and general help requests
[Inductor] turn on vectorization with fallback for indirect indexing etc.,https://github.com/pytorch/pytorch/pull/98138,Step 1: Feature requests and general help requests
[Inductor] cpp further code cleanup,https://github.com/pytorch/pytorch/pull/98135,Step 1: Feature requests and general help requests
"Rename assert options, turn off by default",https://github.com/pytorch/pytorch/pull/98616,Step 1: Feature requests and general help requests
[Dynamo] Fix bug when dynamo generate guards for enum type,https://github.com/pytorch/pytorch/pull/98652,Step 3: Issue not related to correctness bugs
reenable lowmem dropout,https://github.com/pytorch/pytorch/pull/98631,Step 3: Issue not related to correctness bugs
Perf regression from https://github.com/pytorch/pytorch/pull/97931,https://github.com/pytorch/pytorch/issues/98614,Step 3: Issue not related to correctness bugs
